,sentence,term,polarity,from,to,ln
628,"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option.",['food'],['neutral'],['68'],['72'],[4]
629,"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.","['business dinner', 'table']","['positive', 'positive']","['49', '95']","['64', '100']","[15, 5]"
630,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.","['fish', 'staff', 'sushi chef']","['negative', 'negative', 'negative']","['41', '58', '70']","['45', '63', '80']","[4, 5, 10]"
631,"If you go for the pre-theatre menu, it's an even greater deal.",['pre-theatre menu'],['positive'],['18'],['34'],[16]
632,If you go here - your focus should be the Tamarind Margaritas.,['Tamarind Margaritas'],['positive'],['42'],['61'],[19]
633,"If you go to Roth's try to be served by Mike, he is GREAT!!",['served'],['positive'],['30'],['36'],[6]
634,If you have a dumpling fetish i suggest you try some here!,['dumpling'],['positive'],['14'],['22'],[8]
635,If you like spicy food get the chicken vindaloo.,"['chicken vindaloo', 'spicy food']","['neutral', 'neutral']","['31', '12']","['47', '22']","[16, 10]"
636,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","['food', 'value']","['neutral', 'neutral']","['16', '29']","['20', '34']","[4, 5]"
637,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"['music', 'bottle minimun']","['negative', 'negative']","['17', '105']","['22', '119']","[5, 14]"
638,"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",['Thia food'],['positive'],['61'],['70'],[9]
639,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.","['food', 'amount']","['negative', 'negative']","['49', '117']","['53', '123']","[4, 6]"
640,"If you love seafood, you would love this place!","['seafood', 'place']","['positive', 'positive']","['12', '41']","['19', '46']","[7, 5]"
641,"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['wine', 'french fare', 'cheese']","['positive', 'positive', 'positive']","['12', '42', '21']","['16', '53', '27']","[4, 11, 6]"
642,"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.","['white sauce', 'Chinese food']","['negative', 'neutral']","['70', '25']","['81', '37']","[11, 12]"
643,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.","['food', 'service']","['positive', 'positive']","['56', '75']","['60', '82']","[4, 7]"
644,If you want good authentic Thai this place is not the place to go.,['Thai'],['negative'],['27'],['31'],[4]
645,"If you want some roast duck, pork or chicken on rice with ginger, try them out!","['roast duck', 'pork', 'chicken on rice with ginger']","['positive', 'positive', 'positive']","['17', '29', '37']","['27', '33', '64']","[10, 4, 27]"
646,"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",['meal'],['positive'],['35'],['39'],[4]
647,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","['food', 'wait building']","['positive', 'negative']","['35', '88']","['39', '101']","[4, 13]"
648,"If you're looking for a great meal at a decent price, go to Del Frisco's!","['meal', 'price']","['positive', 'positive']","['30', '47']","['34', '52']","[4, 5]"
649,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).","['drink', 'hong-kong styled milk', 'tea with tapioca pearls (hot)']","['neutral', 'positive', 'positive']","['50', '128', '154']","['55', '149', '183']","[5, 21, 29]"
650,"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",['cuisine'],['negative'],['32'],['39'],[7]
651,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,['view'],['positive'],['80'],['84'],[4]
652,"If your favorite Chinese food is General Tao chicken, then this is NOT your place.","['General Tao chicken', 'Chinese food']","['negative', 'neutral']","['33', '17']","['52', '29']","[19, 12]"
653,"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...",['ambiance'],['positive'],['35'],['43'],[8]
654,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",['waiter'],['negative'],['31'],['37'],[6]
655,"In addition, the food is very good and the prices are reasonable.","['food', 'prices']","['positive', 'positive']","['17', '43']","['21', '49']","[4, 6]"
656,"In an area sadly lacking in decent Thai food, this is one of the best spots.",['Thai food'],['positive'],['35'],['44'],[9]
657,"In fact, two people could really share one plate.",['plate'],['positive'],['43'],['48'],[5]
658,"In fact, while leaving the place we saw two people looking at the menu, and I couldn't help telling them that the food was horrible.","['food', 'menu']","['negative', 'neutral']","['114', '66']","['118', '70']","[4, 4]"
659,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,"['diners', 'reservations', 'tables', 'lobby', 'waiting']","['neutral', 'negative', 'negative', 'neutral', 'negative']","['34', '71', '101', '132', '117']","['40', '83', '107', '137', '124']","[6, 12, 6, 5, 7]"
660,"In such a crappy part of town to find a good value for lunch, this place is great.","['value', 'lunch']","['positive', 'positive']","['45', '55']","['50', '60']","[5, 5]"
661,In summer-eat outside on a terrace (another great feature of Suan)!!!,['terrace'],['positive'],['27'],['34'],[7]
662,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.","['food', 'appetizers']","['neutral', 'neutral']","['16', '80']","['20', '90']","[4, 10]"
663,Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.,"['food', 'price']","['positive', 'positive']","['11', '35']","['15', '40']","[4, 5]"
664,Indoor was very cozy and cute.,['Indoor'],['positive'],['0'],['6'],[6]
665,Ingredients are organic which is a real plus for me.,['Ingredients'],['positive'],['0'],['11'],[11]
666,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,['FOOD'],['neutral'],['71'],['75'],[4]
667,Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,"['dishes', 'chicken in curry sauc', 'salmon caserole']","['positive', 'positive', 'positive']","['18', '46', '73']","['24', '67', '88']","[6, 21, 15]"
668,"Interesting selection, good wines, service fine, fun decor.","['wines', 'service', 'decor']","['positive', 'positive', 'positive']","['28', '35', '53']","['33', '42', '58']","[5, 7, 5]"
669,It appears to be the owner's first venture and it shows.,['owner'],['negative'],['21'],['26'],[5]
670,"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.",['food'],['positive'],['73'],['77'],[4]
671,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.","['ambience', 'place', 'aisle']","['negative', 'negative', 'negative']","['17', '39', '95']","['25', '44', '100']","[8, 5, 5]"
672,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","['roll', 'roll', 'roll', 'rice']","['negative', 'negative', 'negative', 'neutral']","['36', '60', '74', '135']","['40', '64', '78', '139']","[4, 4, 4, 4]"
673,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,"['live entertainment', 'special effects']","['positive', 'positive']","['24', '72']","['42', '87']","[18, 15]"
674,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.","['FOOD', 'Ambiance']","['negative', 'negative']","['12', '21']","['16', '29']","[4, 8]"
675,It is also extremely well priced.,['priced'],['positive'],['26'],['32'],[6]
676,"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","['bar', 'tables', 'waiter', 'bartender', 'atmosphere']","['positive', 'negative', 'neutral', 'neutral', 'positive']","['28', '70', '85', '102', '152']","['31', '76', '91', '111', '162']","[3, 6, 6, 9, 10]"
677,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,"['tables', 'dinner', 'place']","['negative', 'positive', 'positive']","['26', '101', '79']","['32', '107', '84']","[6, 6, 5]"
678,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.","['table', 'dinner']","['negative', 'positive']","['33', '86']","['38', '92']","[5, 6]"
679,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,['Japanese cuisine'],['negative'],['82'],['98'],[16]
680,It is run by the same Sichuan chef who started the chain in Chinatown.,['Sichuan chef'],['neutral'],['22'],['34'],[12]
681,"It is set far from the small street it's on, and there is no traffic noise.",['traffic noise'],['positive'],['61'],['74'],[13]
682,It is so easy to get a reservation at a top place in NYC with a week's notice.,['reservation'],['positive'],['23'],['34'],[11]
683,"It is the type of place to run into old friends and have a late, raucus dinner.",['dinner'],['positive'],['72'],['78'],[6]
684,It looked like shredded cheese partly done - still in strips.,['shredded cheese'],['negative'],['15'],['30'],[15]
685,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['vibe', 'French food', 'packed']","['positive', 'positive', 'negative']","['44', '76', '16']","['48', '87', '22']","[4, 11, 6]"
686,"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.","['rice', 'water']","['neutral', 'neutral']","['91', '108']","['95', '113']","[4, 5]"
687,"It only took about five or so minutes to get an empty table, but standing up wasn't too bad.",['table'],['positive'],['54'],['59'],[5]
688,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.","['bar', 'waiting', 'table']","['negative', 'negative', 'negative']","['72', '24', '38']","['75', '31', '43']","[3, 7, 5]"
689,It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,['drink'],['neutral'],['26'],['31'],[5]
690,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['drinks', 'check']","['neutral', 'neutral']","['82', '32']","['88', '37']","[6, 5]"
691,It took them 15 minutes to put water in our glasses.,['water'],['neutral'],['31'],['36'],[5]
692,It took them 25 minutes to bring our appetizer.,['appetizer'],['neutral'],['37'],['46'],[9]
693,It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,['servers'],['negative'],['16'],['23'],[7]
